"MovieID" "ratings_per_movie" "sum_ratings" "avg_ratings" "Title" "Genres" "Year" "adjusted_rating" "tmp_mutate$Genres"
"1" 858 2223 10059 4.52496626180837 "Godfather, The (1972)" "Action" 1972 4.42283020446609 "Action"
"2" 1198 2514 11257 4.47772474144789 "Raiders of the Lost Ark (1981)" "Action" 1981 4.39084488237142 "Action"
"3" 260 2991 13321 4.45369441658308 "Star Wars: Episode IV - A New Hope (1977)" "Action" 1977 4.38151214888387 "Action"
"4" 2028 2653 11507 4.33735393893705 "Saving Private Ryan (1998)" "Action" 1998 4.26756704784713 "Action"
"5" 2019 628 2864 4.56050955414013 "Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)" "Action" 1954 4.266256498347 "Action"
"6" 1198 2514 11257 4.47772474144789 "Raiders of the Lost Ark (1981)" "Adventure" 1981 4.39084488237142 "Adventure"
"7" 260 2991 13321 4.45369441658308 "Star Wars: Episode IV - A New Hope (1977)" "Adventure" 1977 4.38151214888387 "Adventure"
"8" 1196 2990 12836 4.29297658862876 "Star Wars: Episode V - The Empire Strikes Back (1980)" "Adventure" 1980 4.23407814935483 "Adventure"
"9" 1197 2318 9976 4.3037100949094 "Princess Bride, The (1987)" "Adventure" 1987 4.22839804364992 "Adventure"
"10" 1204 831 3658 4.40192539109507 "Lawrence of Arabia (1962)" "Adventure" 1962 4.20080933455395 "Adventure"
"11" 1148 882 3976 4.50793650793651 "Wrong Trousers, The (1993)" "Animation" 1993 4.29088634287841 "Animation"
"12" 745 657 2970 4.52054794520548 "Close Shave, A (1995)" "Animation" 1995 4.2471372331881 "Animation"
"13" 3114 1585 6687 4.21892744479495 "Toy Story 2 (1999)" "Animation" 1999 4.12619018975101 "Animation"
"14" 720 438 1939 4.42694063926941 "Wallace & Gromit: The Best of Aardman Animation (1996)" "Animation" 1996 4.10463334930475 "Animation"
"15" 1 2077 8613 4.14684641309581 "Toy Story (1995)" "Animation" 1995 4.08183974583249 "Animation"
"16" 919 1718 7298 4.24796274738067 "Wizard of Oz, The (1939)" "Children's" 1939 4.15748806486988 "Children's"
"17" 3114 1585 6687 4.21892744479495 "Toy Story 2 (1999)" "Children's" 1999 4.12619018975101 "Children's"
"18" 1 2077 8613 4.14684641309581 "Toy Story (1995)" "Children's" 1995 4.08183974583249 "Children's"
"19" 1097 2269 8997 3.96518289995593 "E.T. the Extra-Terrestrial (1982)" "Children's" 1982 3.92440347522293 "Children's"
"20" 2761 674 2728 4.04747774480712 "Iron Giant, The (1999)" "Children's" 1999 3.91425773137228 "Children's"
"21" 1148 882 3976 4.50793650793651 "Wrong Trousers, The (1993)" "Comedy" 1993 4.29088634287841 "Comedy"
"22" 2858 3428 14800 4.31738623103851 "American Beauty (1999)" "Comedy" 1999 4.26368254463519 "Comedy"
"23" 745 657 2970 4.52054794520548 "Close Shave, A (1995)" "Comedy" 1995 4.2471372331881 "Comedy"
"24" 1197 2318 9976 4.3037100949094 "Princess Bride, The (1987)" "Comedy" 1987 4.22839804364992 "Comedy"
"25" 1136 1599 6932 4.33520950594121 "Monty Python and the Holy Grail (1974)" "Comedy" 1974 4.22637448504592 "Comedy"
"26" 858 2223 10059 4.52496626180837 "Godfather, The (1972)" "Crime" 1972 4.42283020446609 "Crime"
"27" 50 1783 8054 4.5171060011217 "Usual Suspects, The (1995)" "Crime" 1995 4.39411228196819 "Crime"
"28" 1221 1692 7373 4.35756501182033 "Godfather: Part II, The (1974)" "Crime" 1974 4.25081377313874 "Crime"
"29" 296 2171 9288 4.27821280515891 "Pulp Fiction (1994)" "Crime" 1994 4.2011843994015 "Crime"
"30" 608 2513 10692 4.25467568643056 "Fargo (1996)" "Crime" 1996 4.18939626720107 "Crime"
"31" 246 716 2999 4.18854748603352 "Hoop Dreams (1994)" "Documentary" 1994 4.02238467528167 "Documentary"
"32" 1147 277 1197 4.32129963898917 "When We Were Kings (1996)" "Documentary" 1996 3.956241232976 "Documentary"
"33" 2064 798 3251 4.07393483709273 "Roger & Me (1989)" "Documentary" 1989 3.94949738439765 "Documentary"
"34" 1189 269 1144 4.25278810408922 "Thin Blue Line, The (1988)" "Documentary" 1988 3.9166225615548 "Documentary"
"35" 162 491 1995 4.06313645621181 "Crumb (1994)" "Documentary" 1994 3.89232176831788 "Documentary"
"36" 318 2227 10143 4.55455770094297 "Shawshank Redemption, The (1994)" "Drama" 1994 4.44938672202031 "Drama"
"37" 858 2223 10059 4.52496626180837 "Godfather, The (1972)" "Drama" 1972 4.42283020446609 "Drama"
"38" 527 2304 10392 4.51041666666667 "Schindler's List (1993)" "Drama" 1993 4.41302043971207 "Drama"
"39" 912 1669 7365 4.41282204913122 "Casablanca (1942)" "Drama" 1942 4.29711281976274 "Drama"
"40" 1193 1725 7574 4.39072463768116 "One Flew Over the Cuckoo's Nest (1975)" "Drama" 1975 4.28125313216086 "Drama"
"41" 260 2991 13321 4.45369441658308 "Star Wars: Episode IV - A New Hope (1977)" "Fantasy" 1977 4.38151214888387 "Fantasy"
"42" 1097 2269 8997 3.96518289995593 "E.T. the Extra-Terrestrial (1982)" "Fantasy" 1982 3.92440347522293 "Fantasy"
"43" 2797 1491 5749 3.85580147551979 "Big (1988)" "Fantasy" 1988 3.81376953671205 "Fantasy"
"44" 1073 1313 5070 3.86138613861386 "Willy Wonka and the Chocolate Factory (1971)" "Fantasy" 1971 3.81367539084588 "Fantasy"
"45" 247 477 1844 3.86582809224319 "Heavenly Creatures (1994)" "Fantasy" 1994 3.76310915107131 "Fantasy"
"46" 913 1043 4585 4.39597315436242 "Maltese Falcon, The (1941)" "Film-Noir" 1941 4.22855609633985 "Film-Noir"
"47" 1252 1185 5142 4.33924050632911 "Chinatown (1974)" "Film-Noir" 1974 4.19868786396576 "Film-Noir"
"48" 541 1800 7692 4.27333333333333 "Blade Runner (1982)" "Film-Noir" 1982 4.18313483923692 "Film-Noir"
"49" 922 470 2111 4.49148936170213 "Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)" "Film-Noir" 1950 4.15957635750753 "Film-Noir"
"50" 1617 2288 9654 4.21940559440559 "L.A. Confidential (1997)" "Film-Noir" 1997 4.15210542455818 "Film-Noir"
